left_arm, l_shoulder_pitch,l_shoulder_roll,l_shoulder_yaw,l_elbow,l_wrist_yaw1,l_wrist_roll,l_wrist_yaw2
indices, 2, 4, 6, 8, 10, 12, 14
Stand,       0.785385646194622, -0.281153767716932, 0.000600782658167331, -1.57080884130538, -0.25205140042963, 0.01563815008, 0
Sides,       -0.37, 0.0, 1.57, 0, 0, 0, 0
Out,         0.0,   -1.57,   0.0,   0.0,   0.0,    0.0  ,   0.0
cut_on_1,    -1.45, -1.26, 1.10, -2.02, -0.19, 0.04, -2.86
#cut_on_2,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
cut_wall_1,  -0.25, -0.75, 0.02, -1.21, -0.38, -1.36, -0.9
cut_wall_2,  -0.25, -0.25, 0.02, -1.21, -0.38, -1.36, -0.9
cut_wall_3,  -0.25, -0.13, 0.02, -1.21, -0.13, -1.55, 0.41
push_door_1, -1.73, -0.69, 1.75, -1.86, 0.04, -0.72, 1.63
push_door_2, -1.76, -1.13, 1.68, -0.55, 0.02, -1.81, 1.63
push_door_3, -1.70, -0.06, 1.86, -0.45, 0.08, -0.90, 1.65
stairs_1,    0.785385646194622, -0.281153767716932, 0.000600782658167331, -1.57080884130538, -0.25205140042963, 0.01563815008, 0
#stairs_2,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
#walk,        0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
#calibrate,   0.0,   0.0,   0.0,   0.0,   0.0,    0.0  ,   0.0
